"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Apr-2012","     5296.35","     5331.55","     5278.80","     5317.90","      134538287","         4583.68"
"03-Apr-2012","     5353.20","     5378.75","     5344.45","     5358.50","      152496489","         5256.86"
"04-Apr-2012","     5328.65","     5338.40","     5305.30","     5322.90","      122106162","         4084.37"
"09-Apr-2012","     5282.50","     5287.90","     5228.00","     5234.40","      111914936","         3680.04"
"10-Apr-2012","     5254.10","     5255.80","     5211.85","     5243.60","      156106794","         4886.48"
"11-Apr-2012","     5209.45","     5263.65","     5190.80","     5226.85","      167013527","         5585.70"
"12-Apr-2012","     5246.75","     5290.60","     5246.75","     5276.85","      152684788","         5457.29"
"13-Apr-2012","     5255.70","     5306.75","     5185.40","     5207.45","      164225858","         7989.27"
"16-Apr-2012","     5190.60","     5233.50","     5183.50","     5226.20","      119730347","         5165.70"
"17-Apr-2012","     5266.60","     5298.20","     5208.35","     5289.70","      178895417","         7416.66"
"18-Apr-2012","     5320.70","     5342.00","     5293.45","     5300.00","      152743439","         5665.77"
"19-Apr-2012","     5320.60","     5342.45","     5291.30","     5332.40","      133549895","         5313.33"
"20-Apr-2012","     5313.95","     5336.15","     5245.45","     5290.85","      135252751","         5086.54"
"23-Apr-2012","     5277.40","     5310.55","     5187.15","     5200.60","      138042341","         5065.27"
"24-Apr-2012","     5215.90","     5232.35","     5180.35","     5222.65","      155674654","         7362.66"
"25-Apr-2012","     5222.20","     5236.10","     5160.65","     5202.00","      142910739","         5968.34"
"26-Apr-2012","     5214.75","     5215.60","     5179.05","     5189.00","      185899437","         6408.49"
"27-Apr-2012","     5189.00","     5223.05","     5154.30","     5190.60","      128759445","         5734.59"
"28-Apr-2012","     5209.60","     5216.40","     5196.35","     5209.00","        6555703","          297.89"
"30-Apr-2012","     5201.45","     5262.15","     5201.45","     5248.15","      108138550","         4610.40"
"02-May-2012","     5254.30","     5279.60","     5226.45","     5239.15","      119333288","         4815.08"
"03-May-2012","     5211.20","     5217.30","     5180.65","     5188.40","      118573998","         5488.90"
"04-May-2012","     5166.65","     5177.20","     5070.60","     5086.85","      153304687","         6507.50"
"07-May-2012","     5017.80","     5124.75","     4988.00","     5114.15","      168271798","         6787.08"
"08-May-2012","     5114.70","     5119.95","     4983.60","     4999.95","      164262546","         6233.26"
"09-May-2012","     4967.90","     5016.25","     4956.45","     4974.80","      180441209","         6558.78"
"10-May-2012","     4984.15","     5039.30","     4950.30","     4965.70","      141031231","         5430.14"
"11-May-2012","     4938.85","     4976.25","     4906.15","     4928.90","      138526070","         5061.57"
"14-May-2012","     4934.35","     4957.20","     4874.50","     4907.80","      126951751","         5291.93"
"15-May-2012","     4869.85","     4955.20","     4868.55","     4942.80","      142119571","         5491.24"
"16-May-2012","     4875.30","     4882.25","     4837.05","     4858.25","      165048505","         6316.66"
"17-May-2012","     4878.60","     4922.25","     4850.20","     4870.20","      155654031","         5745.51"
"18-May-2012","     4796.40","     4908.50","     4788.95","     4891.45","      154508649","         6447.08"
"21-May-2012","     4888.50","     4937.50","     4888.50","     4906.05","      116506971","         4527.67"
"22-May-2012","     4954.70","     4956.35","     4849.90","     4860.50","      130808278","         5074.37"
"23-May-2012","     4843.00","     4853.75","     4803.95","     4835.65","      136108067","         4854.15"
"24-May-2012","     4863.40","     4931.90","     4830.15","     4921.40","      140474832","         5012.08"
"25-May-2012","     4905.95","     4935.80","     4889.35","     4920.40","      118191157","         4398.09"
"28-May-2012","     4931.70","     4994.95","     4931.30","     4985.65","       97260991","         3983.53"
"29-May-2012","     5005.35","     5020.15","     4982.15","     4990.10","      124219839","         4923.56"
"30-May-2012","     4964.25","     4982.25","     4944.90","     4950.75","      146005250","         5374.65"
"31-May-2012","     4896.10","     4949.25","     4883.55","     4924.25","      296911390","        10662.01"
"01-Jun-2012","     4910.85","     4925.00","     4831.75","     4841.60","      138767416","         4989.22"
"04-Jun-2012","     4797.30","     4858.30","     4770.35","     4848.15","      152339865","         5143.54"
"05-Jun-2012","     4869.45","     4898.95","     4847.70","     4863.30","      141476962","         5016.41"
"06-Jun-2012","     4886.65","     5010.45","     4886.15","     4997.10","      185340406","         7188.42"
"07-Jun-2012","     5035.35","     5059.65","     5007.75","     5049.65","      150558164","         6077.37"
