"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2008","     4735.65","     4800.75","     4628.75","     4739.55","      119878713","         5875.10"
"02-Apr-2008","     4741.40","     4916.75","     4741.40","     4754.20","      115678126","         5708.19"
"03-Apr-2008","     4753.90","     4833.25","     4738.20","     4771.60","      130583246","         6636.39"
"04-Apr-2008","     4766.70","     4791.70","     4632.70","     4647.00","      132143809","         6626.62"
"07-Apr-2008","     4631.35","     4798.55","     4628.80","     4761.20","      124925089","         6404.59"
"08-Apr-2008","     4760.65","     4769.55","     4677.80","     4709.65","      113783563","         6300.38"
"09-Apr-2008","     4707.05","     4758.25","     4667.50","     4747.05","      101430145","         5071.07"
"10-Apr-2008","     4747.55","     4799.50","     4720.90","     4733.00","      150146637","         6919.60"
"11-Apr-2008","     4734.35","     4817.40","     4727.25","     4777.80","      132775090","         6512.54"
"15-Apr-2008","     4779.95","     4917.10","     4708.30","     4879.65","      152133622","         7483.14"
"16-Apr-2008","     4881.65","     4951.40","     4874.05","     4887.30","      137348930","         6695.34"
"17-Apr-2008","     4890.60","     4984.95","     4889.65","     4958.40","      135283525","         6587.14"
"21-Apr-2008","     4955.90","     5053.40","     4955.90","     5037.00","      110601430","         5715.21"
"22-Apr-2008","     5037.05","     5074.25","     4994.05","     5049.30","      126837163","         6268.68"
"23-Apr-2008","     5044.35","     5083.50","     5003.55","     5022.80","      146161834","         6682.30"
"24-Apr-2008","     5022.90","     5072.70","     4991.35","     4999.85","      154288468","         7492.21"
"25-Apr-2008","     4999.15","     5117.70","     4999.15","     5111.70","      134465254","         7109.00"
"28-Apr-2008","     5112.50","     5147.45","     5079.15","     5089.65","      110778893","         6011.78"
"29-Apr-2008","     5092.40","     5210.90","     5082.15","     5195.50","      215000545","         9256.51"
"30-Apr-2008","     5198.35","     5230.75","     5155.85","     5165.90","      146277434","         7570.08"
"02-May-2008","     5265.30","     5298.85","     5197.60","     5228.20","      131260266","         7116.13"
"05-May-2008","     5227.25","     5254.50","     5182.60","     5192.25","      125641202","         6433.55"
"06-May-2008","     5192.35","     5206.50","     5110.90","     5144.65","      131800270","         6918.37"
"07-May-2008","     5156.70","     5159.05","     5101.25","     5135.50","      153438748","         7619.10"
"08-May-2008","     5135.80","     5143.05","     5062.45","     5081.70","      127167885","         6306.27"
"09-May-2008","     5070.85","     5087.65","     4969.40","     4982.60","      142385969","         6875.81"
"12-May-2008","     4981.00","     5021.75","     4913.80","     5012.65","      151227287","         6655.44"
"13-May-2008","     5008.60","     5066.00","     4943.75","     4957.80","      158521953","         7243.14"
"14-May-2008","     4958.45","     5026.10","     4932.05","     5011.75","      147937974","         6731.30"
