"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2014","     6729.50","     6732.25","     6675.45","     6721.05","      147136671","         7174.14"
"02-Apr-2014","     6757.60","     6763.50","     6723.60","     6752.55","      173335875","         8007.75"
"03-Apr-2014","     6772.05","     6776.75","     6696.90","     6736.10","      197546648","         7738.58"
"04-Apr-2014","     6741.85","     6741.85","     6685.15","     6694.35","      155127592","         6676.88"
"07-Apr-2014","     6694.25","     6725.15","     6650.40","     6695.05","      133947319","         6707.01"
"09-Apr-2014","     6722.00","     6808.70","     6705.10","     6796.20","      169794626","         8892.66"
"10-Apr-2014","     6803.05","     6819.05","     6777.30","     6796.40","      191125947","         9079.60"
"11-Apr-2014","     6758.35","     6789.35","     6743.15","     6776.30","      140734579","         7463.19"
"15-Apr-2014","     6792.70","     6813.40","     6711.75","     6733.10","      123197822","         7100.26"
"16-Apr-2014","     6727.25","     6748.65","     6665.15","     6675.30","      119768833","         6168.64"
"17-Apr-2014","     6695.45","     6783.05","     6684.40","     6779.40","      131488368","         6952.58"
"21-Apr-2014","     6789.25","     6825.45","     6786.90","     6817.65","      111840313","         5711.98"
"22-Apr-2014","     6822.90","     6838.00","     6806.25","     6815.35","      114693049","         5636.78"
"23-Apr-2014","     6823.25","     6861.60","     6820.75","     6840.80","      182972972","         9247.25"
"25-Apr-2014","     6855.80","     6869.85","     6772.85","     6782.75","      154320793","         8021.33"
"28-Apr-2014","     6778.55","     6786.25","     6750.30","     6761.25","      118162668","         6297.18"
"29-Apr-2014","     6769.00","     6779.70","     6708.65","     6715.25","      115511531","         5459.34"
"30-Apr-2014","     6724.95","     6780.15","     6656.80","     6696.40","      161106871","         7066.78"
"02-May-2014","     6709.95","     6737.65","     6689.50","     6694.80","      114275323","         5030.42"
"05-May-2014","     6681.65","     6741.05","     6680.45","     6699.35","      104989653","         4881.32"
"06-May-2014","     6719.25","     6743.45","     6701.90","     6715.30","       88291413","         4168.72"
"07-May-2014","     6708.60","     6718.75","     6642.90","     6652.55","      114099791","         6513.29"
"08-May-2014","     6669.90","     6688.40","     6638.55","     6659.85","      101549745","         5413.39"
"09-May-2014","     6654.15","     6871.35","     6652.15","     6858.80","      166442779","         8027.14"
"12-May-2014","     6863.40","     7020.05","     6862.90","     7014.25","      157725090","         8475.17"
"13-May-2014","     7080.00","     7172.35","     7067.15","     7108.75","      232221733","        10573.11"
"14-May-2014","     7112.00","     7142.25","     7080.90","     7108.75","      177204155","         9395.80"
"15-May-2014","     7111.30","     7152.55","     7082.55","     7123.15","      186848485","         8947.95"
"16-May-2014","     7270.20","     7563.50","     7130.65","     7203.00","      393156741","        21057.07"
"19-May-2014","     7276.85","     7291.10","     7193.55","     7263.55","      316246557","        15228.60"
"20-May-2014","     7309.95","     7353.65","     7247.70","     7275.50","      255333095","        11139.51"
"21-May-2014","     7274.85","     7287.15","     7206.70","     7252.90","      203137825","         9544.12"
"22-May-2014","     7289.95","     7319.55","     7258.15","     7276.40","      240943899","        10104.55"
"23-May-2014","     7306.50","     7381.00","     7293.90","     7367.10","      259638086","        12002.13"
"26-May-2014","     7428.75","     7504.00","     7269.05","     7359.05","      273236339","        13203.73"
"27-May-2014","     7363.10","     7372.95","     7274.75","     7318.00","      168599276","         7931.22"
"28-May-2014","     7324.95","     7344.75","     7302.60","     7329.65","      175595609","         8929.71"
"29-May-2014","     7316.60","     7325.40","     7224.40","     7235.65","      241115398","        13385.17"
"30-May-2014","     7254.85","     7272.50","     7118.45","     7229.95","      312152571","        13837.29"
"02-Jun-2014","     7264.05","     7368.60","     7239.50","     7362.50","      169891181","         7833.43"
"03-Jun-2014","     7375.35","     7424.95","     7342.15","     7415.85","      234680218","        10354.94"
"04-Jun-2014","     7417.55","     7433.30","     7391.35","     7402.25","      204592241","         8913.89"
"05-Jun-2014","     7399.75","     7484.70","     7360.50","     7474.10","      250660653","        11574.51"
"06-Jun-2014","     7521.50","     7592.70","     7497.65","     7583.40","      248397596","        12322.96"
"09-Jun-2014","     7621.65","     7673.70","     7580.25","     7654.60","      231879926","        10866.56"
"10-Jun-2014","     7679.05","     7683.20","     7579.30","     7656.40","      188669182","         9475.21"
"11-Jun-2014","     7672.40","     7700.05","     7589.05","     7626.85","      186182446","        10472.71"
"12-Jun-2014","     7641.30","     7658.00","     7593.80","     7649.90","      148207144","         8187.49"
"13-Jun-2014","     7668.20","     7678.50","     7525.35","     7542.10","      174522339","        11254.75"
"16-Jun-2014","     7534.80","     7548.60","     7487.55","     7533.55","      155377979","         8449.27"
"17-Jun-2014","     7525.05","     7637.60","     7509.25","     7631.70","      157961787","         8704.20"
"18-Jun-2014","     7636.05","     7663.00","     7515.50","     7558.20","      165078941","         8963.97"
"19-Jun-2014","     7580.05","     7606.45","     7502.55","     7540.70","      148852437","         8115.36"
"20-Jun-2014","     7543.30","     7560.55","     7497.30","     7511.45","      124132217","         6801.49"
"23-Jun-2014","     7514.00","     7534.80","     7441.60","     7493.35","      127404790","         6543.64"
"24-Jun-2014","     7515.20","     7593.35","     7515.20","     7580.20","      137002483","         7146.44"
"25-Jun-2014","     7588.55","     7589.25","     7557.05","     7569.25","      114968325","         6198.93"
"26-Jun-2014","     7554.10","     7570.20","     7481.30","     7493.20","      171676960","         9190.64"
"27-Jun-2014","     7514.20","     7538.75","     7482.30","     7508.80","      126673395","         6688.80"
"30-Jun-2014","     7534.05","     7623.65","     7531.60","     7611.35","      152303166","         7887.37"
"01-Jul-2014","     7629.00","     7649.50","     7618.15","     7634.70","      139431498","         6983.63"
"02-Jul-2014","     7683.05","     7732.40","     7677.30","     7725.15","      136324329","         7363.75"
"03-Jul-2014","     7734.35","     7754.65","     7706.80","     7714.80","      133755275","         7320.09"
"04-Jul-2014","     7718.10","     7758.00","     7661.30","     7751.60","      113070488","         5863.82"
