"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2013","     5697.35","     5720.95","     5675.90","     5704.40","       97779717","         3683.38"
"02-Apr-2013","     5701.70","     5754.60","     5687.15","     5748.10","      106423845","         4262.15"
"03-Apr-2013","     5740.20","     5744.95","     5650.10","     5672.90","      140713330","         5313.95"
"04-Apr-2013","     5640.65","     5644.45","     5565.65","     5574.75","      134586976","         5000.44"
"05-Apr-2013","     5568.10","     5577.30","     5534.70","     5553.25","      137461477","         5281.57"
"08-Apr-2013","     5550.50","     5569.20","     5537.05","     5542.95","       97021471","         3673.21"
"09-Apr-2013","     5568.75","     5603.05","     5487.00","     5495.10","      138184712","         5485.91"
"10-Apr-2013","     5536.25","     5569.25","     5477.20","     5558.70","      128558760","         5387.08"
"11-Apr-2013","     5601.65","     5610.65","     5542.85","     5594.00","      146828501","         6469.38"
"12-Apr-2013","     5520.70","     5544.50","     5494.90","     5528.55","      127323273","         7447.27"
"15-Apr-2013","     5508.50","     5592.85","     5500.30","     5568.40","      142918219","         7133.92"
"16-Apr-2013","     5562.45","     5699.25","     5555.85","     5688.95","      142679244","         5943.06"
"17-Apr-2013","     5708.65","     5732.15","     5669.00","     5688.70","      154575403","         7304.10"
"18-Apr-2013","     5682.70","     5794.35","     5681.85","     5783.10","      149883469","         6588.70"
"22-Apr-2013","     5789.85","     5844.85","     5789.80","     5834.40","      135095797","         6073.25"
"23-Apr-2013","     5843.10","     5844.30","     5791.55","     5836.90","      132218357","         5366.87"
"25-Apr-2013","     5856.10","     5924.60","     5853.30","     5916.30","      199597725","         9211.66"
"26-Apr-2013","     5899.75","     5907.05","     5860.50","     5871.45","      141311877","         6840.01"
"29-Apr-2013","     5877.60","     5918.65","     5868.80","     5904.10","      118882089","         5364.86"
"30-Apr-2013","     5932.60","     5962.30","     5867.80","     5930.20","      153186197","         6699.02"
"02-May-2013","     5911.40","     6019.45","     5910.95","     5999.35","      162376438","         7277.43"
"03-May-2013","     5993.50","     6000.30","     5930.15","     5944.00","      145754275","         6590.91"
"06-May-2013","     5944.90","     5976.50","     5928.45","     5971.05","      110166713","         4612.49"
"07-May-2013","     5983.45","     6050.50","     5982.95","     6043.55","      136372981","         5572.16"
"08-May-2013","     6064.15","     6083.55","     6024.95","     6069.30","      122278698","         5159.97"
"09-May-2013","     6078.35","     6084.70","     6040.45","     6050.15","      109997276","         5164.76"
"10-May-2013","     6046.25","     6105.30","     6045.60","     6094.75","      111351573","         5162.22"
"11-May-2013","     6088.20","     6114.55","     6084.15","     6107.25","        7991165","          355.74"
"13-May-2013","     6098.20","     6104.95","     5972.90","     5980.45","      107948706","         4633.05"
"14-May-2013","     5989.70","     6026.20","     5970.05","     5995.40","      119265483","         4921.65"
"15-May-2013","     6018.85","     6157.10","     6018.85","     6146.75","      153892843","         7240.73"
"16-May-2013","     6128.25","     6187.30","     6128.25","     6169.90","      158635506","         6733.31"
"17-May-2013","     6172.95","     6199.95","     6146.15","     6187.30","      147280254","         5870.44"
"20-May-2013","     6198.00","     6229.45","     6146.05","     6156.90","      122252978","         5589.97"
"21-May-2013","     6152.35","     6180.25","     6102.35","     6114.10","      130589228","         5122.71"
"22-May-2013","     6127.05","     6147.60","     6074.45","     6094.50","      133763685","         5837.19"
"23-May-2013","     6050.40","     6081.45","     5955.70","     5967.05","      198930489","         8230.10"
"24-May-2013","     6010.70","     6015.30","     5936.80","     5983.55","      161622562","         6193.00"
"27-May-2013","     5989.40","     6099.90","     5975.55","     6083.15","      115115365","         4961.15"
"28-May-2013","     6086.35","     6127.65","     6055.40","     6111.25","      139668916","         5481.14"
"29-May-2013","     6120.45","     6125.05","     6069.80","     6104.30","      120205054","         5135.80"
"30-May-2013","     6072.15","     6133.75","     6072.15","     6124.05","      194092801","         7794.82"
"31-May-2013","     6098.70","     6106.25","     5975.55","     5985.95","      175311989","         7223.11"
"03-Jun-2013","     5997.35","     6011.00","     5916.35","     5939.30","      112123535","         5702.24"
"04-Jun-2013","     5941.10","     5981.60","     5910.25","     5919.45","      114450873","         4990.51"
"05-Jun-2013","     5908.30","     5935.20","     5883.70","     5923.85","      110223279","         4691.39"
"06-Jun-2013","     5895.00","     5956.55","     5869.50","     5921.40","      114174694","         4961.54"
"07-Jun-2013","     5900.05","     5972.70","     5871.30","     5881.00","      118346364","         4888.65"
"10-Jun-2013","     5907.90","     5931.65","     5857.40","     5878.00","      100130739","         4304.75"
"11-Jun-2013","     5848.75","     5868.05","     5780.35","     5788.80","      180902123","         6695.57"
"12-Jun-2013","     5771.75","     5792.90","     5738.60","     5760.20","      140394424","         5894.04"
"13-Jun-2013","     5709.35","     5729.85","     5683.10","     5699.10","      142041404","         5462.45"
"14-Jun-2013","     5748.95","     5819.40","     5739.40","     5808.40","      124410018","         5121.33"
"17-Jun-2013","     5820.40","     5854.90","     5770.25","     5850.05","      107160887","         4560.84"
"18-Jun-2013","     5841.90","     5863.40","     5804.30","     5813.60","      117541145","         4591.91"
"19-Jun-2013","     5805.75","     5828.40","     5777.90","     5822.25","      115539008","         4643.17"
"20-Jun-2013","     5754.15","     5755.00","     5645.65","     5655.90","      198400131","         7148.00"
"21-Jun-2013","     5639.90","     5686.15","     5616.85","     5667.65","      182410583","         6697.18"
"24-Jun-2013","     5638.05","     5640.00","     5566.25","     5590.25","      193488581","         6308.88"
"25-Jun-2013","     5606.95","     5666.25","     5570.25","     5609.10","      196571543","         6792.49"
"26-Jun-2013","     5627.95","     5635.25","     5579.35","     5588.70","      160095940","         5939.30"
"27-Jun-2013","     5647.95","     5699.35","     5630.95","     5682.35","      239029425","         9184.29"
"28-Jun-2013","     5749.50","     5852.95","     5749.50","     5842.20","      214402430","         8753.33"
"01-Jul-2013","     5834.10","     5904.35","     5822.20","     5898.85","      144794030","         5405.72"
"02-Jul-2013","     5885.50","     5898.80","     5852.30","     5857.55","      145721790","         5163.09"
"03-Jul-2013","     5811.95","     5815.00","     5760.40","     5770.90","      160523863","         5219.24"
"04-Jul-2013","     5794.75","     5848.20","     5786.05","     5836.95","      151929179","         5429.87"
"05-Jul-2013","     5889.95","     5900.45","     5858.45","     5867.90","      123586417","         4303.93"
"08-Jul-2013","     5833.15","     5833.85","     5775.55","     5811.55","      127624733","         4823.52"
"09-Jul-2013","     5834.60","     5864.95","     5834.60","     5859.00","      110427867","         4661.55"
"10-Jul-2013","     5869.90","     5879.35","     5802.85","     5816.70","      117516350","         4820.53"
"11-Jul-2013","     5894.50","     5948.85","     5887.95","     5935.10","      120195681","         4882.29"
"12-Jul-2013","     6000.50","     6019.00","     5951.15","     6009.00","      127707078","         6591.27"
"15-Jul-2013","     5991.20","     6038.20","     5980.95","     6030.80","      116275729","         4641.97"
"16-Jul-2013","     5930.80","     5966.05","     5910.95","     5955.25","      151162819","         5915.80"
"17-Jul-2013","     5972.25","     5989.80","     5926.75","     5973.30","      191516153","         8349.59"
"18-Jul-2013","     5984.70","     6051.10","     5974.55","     6038.05","      171728134","         7774.83"
"19-Jul-2013","     6057.20","     6066.85","     6020.25","     6029.20","      163311714","         7987.75"
"22-Jul-2013","     6009.75","     6064.15","     6004.25","     6031.80","      115168337","         5117.19"
"23-Jul-2013","     6064.30","     6093.35","     6061.30","     6077.80","      126469251","         5459.62"
"24-Jul-2013","     6032.20","     6047.25","     5962.60","     5990.50","      151931749","         6413.64"
"25-Jul-2013","     5970.40","     5990.65","     5896.40","     5907.50","      237081135","         8762.77"
"26-Jul-2013","     5937.95","     5944.50","     5869.50","     5886.20","      174535664","         6419.86"
"29-Jul-2013","     5869.95","     5886.00","     5825.80","     5831.65","      173430612","         4812.30"
"30-Jul-2013","     5836.05","     5861.30","     5747.60","     5755.05","      181489174","         6006.91"
"31-Jul-2013","     5738.35","     5752.10","     5675.75","     5742.00","      235469131","         8717.16"
"01-Aug-2013","     5776.90","     5808.50","     5676.85","     5727.85","      216762208","         7164.04"
"02-Aug-2013","     5750.05","     5761.85","     5649.00","     5677.90","      222494469","         6350.26"
"05-Aug-2013","     5682.40","     5721.00","     5661.50","     5685.40","      197167952","         5575.21"
"06-Aug-2013","     5664.90","     5664.90","     5521.80","     5542.25","      216227972","         6424.42"
"07-Aug-2013","     5549.30","     5561.45","     5486.85","     5519.10","      245010773","         7725.23"
"08-Aug-2013","     5510.05","     5577.60","     5510.05","     5565.65","      204918722","         6968.85"
"12-Aug-2013","     5606.70","     5644.10","     5557.10","     5612.40","      195708484","         7063.92"
"13-Aug-2013","     5600.25","     5704.75","     5578.90","     5699.30","      222997337","         7073.34"
