"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2019","    11665.20","    11738.10","    11644.75","    11669.15","      379572660","        18977.99"
"02-Apr-2019","    11711.55","    11729.35","    11655.85","    11713.20","      386131413","        18673.70"
"03-Apr-2019","    11735.30","    11761.00","    11629.15","    11643.95","      365760070","        19050.95"
"04-Apr-2019","    11660.20","    11662.55","    11559.20","    11598.00","      349029830","        19713.01"
"05-Apr-2019","    11638.40","    11689.65","    11609.50","    11665.95","      266665797","        15000.35"
"08-Apr-2019","    11704.35","    11710.30","    11549.10","    11604.50","      260932608","        14203.96"
"09-Apr-2019","    11612.05","    11683.90","    11569.70","    11671.95","      300467538","        15984.39"
"10-Apr-2019","    11646.85","    11680.05","    11571.75","    11584.30","      359941110","        22258.46"
"11-Apr-2019","    11592.55","    11606.70","    11550.55","    11596.70","      279775726","        14332.20"
"12-Apr-2019","    11612.85","    11657.35","    11578.80","    11643.45","      246006184","        13598.61"
"15-Apr-2019","    11667.00","    11704.60","    11648.25","    11690.35","      289996075","        15635.79"
"16-Apr-2019","    11736.20","    11810.95","    11731.55","    11787.15","      354315040","        17585.48"
"18-Apr-2019","    11856.15","    11856.15","    11738.50","    11752.80","      339653709","        18271.27"
