"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Apr-2007","     3820.00","     3820.00","     3617.00","     3633.60","       74611355","         3979.31"
"03-Apr-2007","     3633.85","     3703.05","     3632.20","     3690.65","       64733113","         3567.88"
"04-Apr-2007","     3689.75","     3751.40","     3689.75","     3733.25","       87771799","         3685.87"
"05-Apr-2007","     3735.20","     3771.45","     3709.15","     3752.00","       75346993","         3151.70"
"09-Apr-2007","     3752.90","     3850.90","     3747.25","     3843.50","       65501863","         2737.11"
"10-Apr-2007","     3844.15","     3858.35","     3819.30","     3848.15","       78284712","         3508.74"
"11-Apr-2007","     3848.35","     3876.35","     3844.75","     3862.65","       89113728","         3864.28"
"12-Apr-2007","     3861.85","     3861.85","     3811.25","     3829.85","       69265870","         3230.50"
"13-Apr-2007","     3830.35","     3924.55","     3828.45","     3917.35","       89158610","         4643.26"
"16-Apr-2007","     3920.50","     4016.80","     3920.50","     4013.35","       85406452","         4169.48"
"17-Apr-2007","     4014.40","     4030.00","     3976.25","     3984.95","       83281173","         4248.20"
"18-Apr-2007","     3989.60","     4039.25","     3981.75","     4011.60","       73900407","         3555.36"
"19-Apr-2007","     3998.50","     4011.00","     3933.35","     3997.65","       76167934","         3618.63"
"20-Apr-2007","     4000.25","     4090.05","     3995.50","     4083.55","       96650049","         4269.77"
"23-Apr-2007","     4083.55","     4122.35","     4075.20","     4085.10","       85793172","         3672.10"
"24-Apr-2007","     4085.10","     4162.15","     4057.70","     4141.80","      101792602","         5279.14"
"25-Apr-2007","     4134.25","     4173.30","     4114.35","     4167.30","       96383411","         4912.39"
"26-Apr-2007","     4170.05","     4217.90","     4143.25","     4177.85","      111716820","         5921.60"
"27-Apr-2007","     4182.00","     4182.00","     4074.30","     4083.50","       83330984","         4143.61"
"30-Apr-2007","     4081.60","     4096.90","     4028.90","     4087.90","       74746036","         3816.33"
"03-May-2007","     4089.45","     4161.20","     4080.75","     4150.85","       79591422","         4196.82"
"04-May-2007","     4168.90","     4180.90","     4109.70","     4117.35","       67472022","         3620.94"
"07-May-2007","     4117.50","     4157.65","     4103.60","     4111.15","       63121628","         2962.32"
"08-May-2007","     4111.25","     4136.05","     4066.40","     4077.00","       77322300","         4067.24"
"09-May-2007","     4077.25","     4087.80","     4030.55","     4079.30","       65609530","         3484.85"
"10-May-2007","     4079.60","     4134.20","     4057.55","     4066.80","       74217966","         3591.84"
"11-May-2007","     4070.20","     4094.65","     3981.15","     4076.65","      101897727","         4421.44"
"14-May-2007","     4078.80","     4151.30","     4072.45","     4134.30","       95639685","         3429.82"
"15-May-2007","     4134.30","     4150.45","     4102.45","     4120.30","       82708097","         3857.44"
"16-May-2007","     4125.40","     4181.00","     4113.05","     4170.95","       87122564","         4499.51"
"17-May-2007","     4172.10","     4232.45","     4172.10","     4219.55","       92236562","         5138.95"
"18-May-2007","     4216.50","     4228.45","     4177.00","     4214.50","       68771304","         3960.85"
"21-May-2007","     4217.65","     4269.35","     4217.55","     4260.90","       92776373","         4309.29"
"22-May-2007","     4263.10","     4281.60","     4234.10","     4278.10","       85013484","         4887.78"
"23-May-2007","     4279.60","     4291.40","     4231.05","     4246.20","       84529936","         4384.41"
"24-May-2007","     4246.20","     4250.85","     4189.05","     4204.90","       79985272","         4033.72"
"25-May-2007","     4197.85","     4256.40","     4141.35","     4248.15","       87574680","         4590.27"
"28-May-2007","     4248.35","     4295.60","     4242.80","     4256.55","       82687609","         3524.29"
"29-May-2007","     4257.60","     4298.85","     4248.90","     4293.25","       70929391","         3797.57"
"30-May-2007","     4292.70","     4301.60","     4241.35","     4249.65","       88198865","         5019.21"
"31-May-2007","     4250.25","     4306.75","     4250.25","     4295.80","      105631422","         4960.86"
"01-Jun-2007","     4296.05","     4325.80","     4288.55","     4297.05","       73330395","         3665.42"
"04-Jun-2007","     4300.70","     4362.95","     4256.45","     4267.05","       81067590","         3405.67"
"05-Jun-2007","     4268.90","     4292.50","     4249.10","     4284.65","       77453933","         3585.98"
"06-Jun-2007","     4285.75","     4324.10","     4190.95","     4198.25","       83487572","         4037.35"
"07-Jun-2007","     4197.60","     4230.05","     4130.50","     4179.50","       85897072","         4096.82"
"08-Jun-2007","     4179.50","     4195.15","     4126.10","     4145.00","      104593779","         5337.22"
"11-Jun-2007","     4183.75","     4205.20","     4134.95","     4145.60","       82508456","         3650.49"
"12-Jun-2007","     4139.70","     4166.85","     4100.80","     4155.20","       74344690","         3659.97"
"13-Jun-2007","     4155.20","     4161.80","     4102.95","     4113.05","       64074203","         3287.71"
"14-Jun-2007","     4113.20","     4174.05","     4112.85","     4170.00","       62857867","         3306.45"
"15-Jun-2007","     4186.40","     4209.45","     4153.70","     4171.45","       63381900","         3221.92"
"18-Jun-2007","     4177.00","     4208.15","     4140.25","     4147.10","       51604532","         2726.28"
"19-Jun-2007","     4143.85","     4222.40","     4136.15","     4214.30","       56324333","         3172.82"
"20-Jun-2007","     4214.30","     4257.00","     4214.30","     4248.65","       66195436","         3687.78"
"21-Jun-2007","     4248.65","     4275.35","     4220.10","     4267.40","       71847492","         3911.35"
"22-Jun-2007","     4267.55","     4278.85","     4242.50","     4252.05","       66686692","         3525.94"
"25-Jun-2007","     4251.40","     4264.25","     4236.30","     4259.40","       76162914","         3490.60"
"26-Jun-2007","     4259.40","     4296.15","     4250.10","     4285.70","       79271798","         3201.08"
"27-Jun-2007","     4286.20","     4294.20","     4255.25","     4263.95","       77203717","         3335.55"
"28-Jun-2007","     4263.90","     4291.40","     4256.90","     4282.00","      117441740","         5177.41"
"29-Jun-2007","     4282.40","     4321.35","     4280.95","     4318.30","       72628435","         4423.22"
"02-Jul-2007","     4318.40","     4346.75","     4305.45","     4313.75","       64709910","         3487.02"
"03-Jul-2007","     4315.05","     4363.35","     4313.55","     4357.55","       60061503","         3454.26"
"04-Jul-2007","     4358.25","     4386.45","     4342.00","     4359.30","       62524977","         3528.45"
"05-Jul-2007","     4359.20","     4378.55","     4311.80","     4353.95","       64671779","         3799.40"
"06-Jul-2007","     4353.10","     4411.00","     4304.00","     4384.85","       84077477","         4758.87"
