"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2009","     3023.85","     3069.30","     2965.70","     3060.35","      319442080","         8011.16"
"02-Apr-2009","     3061.05","     3228.75","     3061.05","     3211.05","      370836234","         9558.67"
"06-Apr-2009","     3211.35","     3303.90","     3211.35","     3256.60","      357065601","         9499.48"
"08-Apr-2009","     3255.35","     3357.05","     3149.25","     3342.95","      409030235","        11116.42"
"09-Apr-2009","     3346.00","     3401.15","     3307.05","     3342.05","      414637960","         9984.24"
"13-Apr-2009","     3342.20","     3417.80","     3334.15","     3382.60","      331534301","         8324.35"
"15-Apr-2009","     3381.45","     3497.55","     3311.80","     3484.15","      458489468","        12280.20"
"16-Apr-2009","     3484.35","     3511.25","     3354.20","     3369.50","      559549931","        13209.78"
"17-Apr-2009","     3369.50","     3489.85","     3359.25","     3384.40","      491159908","        11504.60"
"20-Apr-2009","     3384.75","     3441.10","     3339.45","     3377.10","      341798670","         8834.22"
"21-Apr-2009","     3376.85","     3414.70","     3309.35","     3365.30","      344667947","         9069.56"
"22-Apr-2009","     3364.60","     3401.10","     3296.90","     3330.30","      327292987","         7932.51"
"23-Apr-2009","     3330.50","     3439.90","     3310.50","     3423.70","      315691090","         7864.54"
"24-Apr-2009","     3423.60","     3491.35","     3402.90","     3480.75","      306127718","         8604.04"
"27-Apr-2009","     3481.30","     3517.25","     3435.30","     3470.00","      315936295","         9077.06"
"28-Apr-2009","     3469.50","     3471.95","     3351.50","     3362.35","      287134649","         7904.38"
"29-Apr-2009","     3371.65","     3486.40","     3366.70","     3473.95","      483582317","         9703.94"
"04-May-2009","     3478.70","     3664.50","     3478.70","     3654.00","      363866099","        10112.76"
"05-May-2009","     3664.50","     3682.20","     3618.75","     3661.90","      442066443","        11236.79"
"06-May-2009","     3662.00","     3717.05","     3608.65","     3625.05","      408101644","        11559.20"
"07-May-2009","     3617.15","     3692.05","     3617.15","     3683.90","      326304598","         8827.72"
"08-May-2009","     3681.80","     3711.25","     3582.85","     3620.70","      291694964","         8529.40"
"11-May-2009","     3615.75","     3660.20","     3534.55","     3554.60","      285340638","         7858.78"
"12-May-2009","     3554.65","     3691.65","     3534.20","     3681.10","      366055503","         9550.49"
"13-May-2009","     3668.75","     3709.60","     3610.20","     3635.25","      360452738","         9800.15"
"14-May-2009","     3631.90","     3631.90","     3537.60","     3593.45","      288154287","         8138.79"
"15-May-2009","     3597.85","     3686.25","     3597.85","     3671.65","      300880814","         8655.24"
"18-May-2009","     3673.15","     4384.30","     3673.15","     4323.15","        2768292","          113.99"
"19-May-2009","     4324.95","     4509.40","     4167.65","     4318.45","      670982325","        26002.26"
"20-May-2009","     4318.75","     4362.85","     4244.70","     4270.30","      471343167","        16917.63"
"21-May-2009","     4270.35","     4319.00","     4199.20","     4210.90","      353070384","        12290.03"
"22-May-2009","     4211.85","     4249.50","     4155.85","     4238.50","      284165388","        10572.97"
"25-May-2009","     4238.10","     4270.05","     4205.10","     4237.55","      299302991","         9104.62"
"26-May-2009","     4239.55","     4256.05","     4092.25","     4116.70","      308739530","         9501.71"
"27-May-2009","     4117.30","     4286.45","     4115.25","     4276.05","      353499631","        12173.35"
"28-May-2009","     4276.15","     4354.85","     4254.85","     4337.10","      460439887","        16067.32"
"29-May-2009","     4340.75","     4488.05","     4340.75","     4448.95","      506796280","        15181.73"
"01-Jun-2009","     4450.40","     4545.40","     4450.40","     4529.90","      464256409","        12781.61"
"02-Jun-2009","     4530.45","     4586.40","     4451.30","     4525.25","      396327441","        12565.07"
"03-Jun-2009","     4525.50","     4574.90","     4478.60","     4530.70","      415829528","        12131.57"
"04-Jun-2009","     4530.30","     4582.20","     4453.45","     4572.65","      424050722","        12563.65"
"05-Jun-2009","     4573.30","     4636.85","     4561.95","     4586.90","      409906842","        12907.88"
"08-Jun-2009","     4582.35","     4611.40","     4404.65","     4429.90","      370092839","        10824.22"
"09-Jun-2009","     4427.75","     4562.45","     4365.10","     4550.95","      414282839","        12049.96"
"10-Jun-2009","     4551.70","     4688.95","     4551.70","     4655.25","      392189746","        13099.93"
"11-Jun-2009","     4657.40","     4679.55","     4586.15","     4637.70","      391597868","        11474.46"
"12-Jun-2009","     4637.55","     4693.20","     4566.15","     4583.40","      351580404","        11400.58"
"15-Jun-2009","     4584.65","     4601.05","     4469.60","     4484.00","      322454082","        10755.98"
"16-Jun-2009","     4478.10","     4537.95","     4405.95","     4517.80","      320009267","        10807.47"
"17-Jun-2009","     4515.35","     4517.80","     4332.80","     4356.15","      327627945","        11194.56"
"18-Jun-2009","     4352.95","     4375.30","     4222.15","     4251.40","      373404826","        11542.45"
"19-Jun-2009","     4251.10","     4326.20","     4206.70","     4313.60","      350066880","        10401.79"
"22-Jun-2009","     4314.20","     4352.25","     4221.90","     4235.25","      270808678","         9103.94"
"23-Jun-2009","     4223.30","     4267.45","     4143.25","     4247.00","      339990201","        10880.96"
"24-Jun-2009","     4247.30","     4307.00","     4218.25","     4292.95","      311199175","         9512.27"
"25-Jun-2009","     4293.85","     4337.95","     4221.15","     4241.85","      407987742","        12847.28"
"26-Jun-2009","     4243.95","     4383.75","     4243.95","     4375.50","      284570041","        10065.52"
"29-Jun-2009","     4375.40","     4439.95","     4350.90","     4390.95","      293321334","         9591.85"
"30-Jun-2009","     4391.50","     4426.75","     4267.35","     4291.10","      336647021","         9901.53"
"01-Jul-2009","     4292.30","     4362.30","     4249.70","     4340.90","      289982752","         8654.14"
"02-Jul-2009","     4373.50","     4383.65","     4288.75","     4348.85","      259079398","         9730.33"
"03-Jul-2009","     4347.30","     4434.45","     4298.95","     4424.25","      224680237","         8374.40"
"06-Jul-2009","     4429.60","     4479.80","     4133.70","     4165.70","      365737764","        12648.38"
"07-Jul-2009","     4166.00","     4231.80","     4155.50","     4202.15","      290915989","        10299.04"
"08-Jul-2009","     4201.85","     4201.85","     4061.10","     4078.90","      339578445","        10077.55"
"09-Jul-2009","     4078.75","     4114.90","     4039.85","     4080.95","      406359501","         9201.81"
"10-Jul-2009","     4081.40","     4129.95","     3976.80","     4003.90","      303001008","         8770.17"
"13-Jul-2009","     4003.40","     4003.40","     3918.75","     3974.05","      273186872","         7530.57"
"14-Jul-2009","     3974.10","     4128.90","     3974.10","     4111.40","      242076783","         7797.11"
