"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2004","     1771.45","     1823.05","     1771.45","     1819.65","      111071273","         3379.44"
"02-Apr-2004","     1856.10","     1856.30","     1809.00","     1841.10","      118736971","         3739.26"
"05-Apr-2004","     1841.10","     1878.80","     1840.00","     1856.60","      102595126","         3401.78"
"06-Apr-2004","     1870.80","     1876.15","     1836.90","     1851.15","      109408750","         4062.87"
"07-Apr-2004","     1856.40","     1865.20","     1833.95","     1848.70","       86260745","         2987.03"
"08-Apr-2004","     1854.00","     1864.95","     1839.70","     1853.55","       93980684","         3395.25"
"12-Apr-2004","     1860.30","     1873.75","     1828.95","     1838.20","       80205015","         2951.98"
"13-Apr-2004","     1838.50","     1885.15","     1819.80","     1878.45","       85830602","         3640.14"
"15-Apr-2004","     1878.50","     1884.50","     1855.00","     1861.95","      112263936","         4396.84"
"16-Apr-2004","     1863.85","     1882.55","     1861.80","     1868.95","       83291614","         3134.55"
"17-Apr-2004","     1869.20","     1875.95","     1864.95","     1868.10","       23013538","          765.80"
"19-Apr-2004","     1868.20","     1876.20","     1837.40","     1844.05","       93078338","         3050.44"
"20-Apr-2004","     1844.40","     1851.00","     1832.00","     1844.25","      102774012","         2792.83"
"21-Apr-2004","     1844.35","     1876.00","     1838.60","     1873.35","      114885658","         3380.33"
"22-Apr-2004","     1873.55","     1894.60","     1871.00","     1889.55","      116776999","         3565.58"
"23-Apr-2004","     1890.85","     1912.35","     1885.75","     1892.45","      127538156","         4161.45"
"27-Apr-2004","     1890.05","     1893.10","     1814.00","     1817.25","      120420688","         4020.06"
"28-Apr-2004","     1819.00","     1833.95","     1801.80","     1816.55","      117150482","         3899.16"
"29-Apr-2004","     1816.70","     1818.90","     1793.10","     1808.95","      136948059","         4883.42"
"30-Apr-2004","     1820.55","     1841.45","     1788.30","     1796.10","      105820820","         3326.59"
"03-May-2004","     1796.10","     1801.45","     1742.80","     1766.70","      105961228","         3650.08"
"04-May-2004","     1769.10","     1803.15","     1768.80","     1793.10","       89713100","         3094.57"
"05-May-2004","     1789.45","     1814.35","     1788.10","     1809.90","       76697398","         2629.28"
"06-May-2004","     1810.30","     1837.95","     1810.30","     1832.80","       83788972","         2949.29"
"07-May-2004","     1832.85","     1833.15","     1796.95","     1804.45","       84070586","         2908.05"
"10-May-2004","     1804.40","     1804.40","     1753.80","     1769.10","       98002184","         3201.51"
"11-May-2004","     1768.70","     1768.70","     1692.90","     1699.45","       98598870","         3395.03"
"12-May-2004","     1699.25","     1721.35","     1689.85","     1711.10","      106577371","         3635.13"
"13-May-2004","     1707.95","     1750.30","     1625.10","     1717.50","      155582005","         5238.04"
"14-May-2004","     1717.05","     1722.80","     1566.95","     1582.40","      177163472","         5387.79"
"17-May-2004","     1582.50","     1583.80","     1292.20","     1388.75","      114967105","         3253.17"
"18-May-2004","     1392.95","     1517.60","     1389.65","     1503.95","      148414213","         4332.94"
"19-May-2004","     1508.05","     1576.05","     1508.05","     1567.85","      141941997","         4088.33"
"20-May-2004","     1566.50","     1591.05","     1531.30","     1543.85","      134939278","         3642.73"
"21-May-2004","     1545.05","     1566.15","     1498.10","     1560.20","      113119146","         3323.52"
"24-May-2004","     1563.65","     1613.60","     1563.05","     1608.85","       93125853","         3078.95"
"25-May-2004","     1608.90","     1621.45","     1566.40","     1606.70","      101368524","         3451.03"
"26-May-2004","     1608.15","     1625.70","     1587.00","     1598.80","      101450235","         3256.47"
"27-May-2004","     1590.15","     1606.00","     1576.05","     1586.40","      101143246","         3366.55"
"28-May-2004","     1586.35","     1587.10","     1504.00","     1508.75","      134295973","         3981.89"
"31-May-2004","     1507.05","     1509.05","     1456.20","     1483.60","      127192663","         3731.20"
"01-Jun-2004","     1483.90","     1529.60","     1483.90","     1507.90","      107046479","         3417.82"
"02-Jun-2004","     1508.00","     1543.30","     1508.00","     1535.20","       87161946","         2814.24"
"03-Jun-2004","     1535.80","     1566.50","     1484.50","     1495.10","      112497745","         3585.09"
"04-Jun-2004","     1494.85","     1527.00","     1480.80","     1521.10","      106871617","         3176.73"
"07-Jun-2004","     1521.60","     1557.50","     1521.60","     1542.55","      105183587","         3253.18"
"08-Jun-2004","     1542.60","     1557.00","     1526.45","     1550.55","       91169729","         2982.37"
"09-Jun-2004","     1550.45","     1561.60","     1541.60","     1548.30","       93462741","         3018.55"
"10-Jun-2004","     1547.70","     1552.75","     1535.00","     1544.75","       78627977","         2502.91"
"11-Jun-2004","     1544.95","     1547.40","     1504.80","     1508.45","       85740531","         2765.35"
"14-Jun-2004","     1508.15","     1509.60","     1474.65","     1481.35","       96831363","         2815.43"
